Clustername 1	Clustername 2	Raw distance	Squared similarity	Jaccard index	DSS index	Adjacency index	raw DSS non-anchor	raw DSS anchor	Non-anchor domains	Anchor domains	Combined group	Shared group
BGC0000031.1.region001	BGC0001533.1.region001	0.01732279732823372	0.9656544923782349	1.0	0.977206826210022	1.0	0.022793153300881386	0.0	85	0	T1PKS - T1PKS	T1PKS
BGC0001436.1.region002	BGC0001557.1.region002	1.734723475976807e-17	1.0	1.0	1.0	1.0	0.0	0.0	18	0	T1PKS - T1PKS	T1PKS
BGC0000029.1.region001	BGC0000097.1.region001	0.17672303318977356	0.6777849793434143	0.9166666865348816	0.7946884632110596	0.8823529481887817	0.20531152188777924	0.0	114	0	T1PKS - T1PKS	T1PKS
BGC0000116.1.region001	BGC0001709.1.region001	0.24221490323543549	0.5742382407188416	0.9047619104385376	0.716266393661499	0.71875	0.2837335765361786	0.0	148	0	T1PKS - T1PKS	T1PKS
BGC0001360.1.region001	BGC0001677.1.region001	0.2557183504104614	0.5539551973342896	0.8125	0.7309626936912537	0.5	0.26903730630874634	0.0	15	0	T1PKS - T1PKS	T1PKS
BGC0001377.1.region001	BGC0001815.1.region001	1.734723475976807e-17	1.0	1.0	1.0	1.0	0.0	0.0	31	0	T1PKS - T1PKS	T1PKS
BGC0000100.1.region001	BGC0001670.1.region001	1.734723475976807e-17	1.0	1.0	1.0	1.0	0.0	0.0	116	0	T1PKS - T1PKS	T1PKS
BGC0001854.1.region001	BGC0001901.1.region001	1.734723475976807e-17	1.0	1.0	1.0	1.0	0.0	0.0	22	0	T1PKS - T1PKS	T1PKS
BGC0000130.1.region001	BGC0000132.1.region001	0.22964565455913544	0.5934458374977112	0.8888888955116272	0.7365773320198059	0.75	0.2634226381778717	0.0	19	0	T1PKS - T1PKS	T1PKS
BGC0000004.1.region001	BGC0000009.1.region001	0.11990930885076523	0.7745596170425415	0.9411764740943909	0.8634076118469238	0.8421052694320679	0.13659241795539856	0.0	20	0	T1PKS - T1PKS	T1PKS
BGC0000096.1.region001	BGC0000113.1.region001	0.2162797898054123	0.6142173409461975	1.0	0.7154213190078735	1.0	0.28457868099212646	0.0	57	0	T1PKS - T1PKS	T1PKS
BGC0000006.1.region001	BGC0000007.1.region001	0.027945201843976974	0.944890558719635	1.0	0.9632300138473511	1.0	0.03677000105381012	0.0	20	0	T1PKS - T1PKS	T1PKS
BGC0000113.1.region001	BGC0001931.1.region001	0.22717136144638062	0.5972641110420227	1.0	0.7026383280754089	0.9411764740943909	0.29736170172691345	0.0	57	0	T1PKS - T1PKS.oligosaccharide	
BGC0000086.1.region001	BGC0000087.1.region001	0.07277072966098785	0.8597541451454163	0.8461538553237915	0.9534274339675903	0.8235294222831726	0.04657258465886116	0.0	106	0	T1PKS - T1PKS	T1PKS
BGC0000007.1.region001	BGC0000009.1.region001	0.10697049647569656	0.7975016832351685	0.9473684430122375	0.8780733346939087	0.8636363744735718	0.1219266802072525	0.0	23	0	T1PKS - T1PKS	T1PKS
BGC0000051.1.region001	BGC0001580.1.region001	0.2690332531929016	0.53431236743927	0.3333333432674408	0.8555817008018494	0.3695652186870575	0.14441828429698944	0.0	57	0	T1PKS - terpene.T1PKS	
BGC0001866.1.region001	BGC0002030.1.region001	1.734723475976807e-17	1.0	1.0	1.0	1.0	0.0	0.0	28	0	T1PKS - T1PKS	T1PKS
BGC0001976.1.region001	BGC0001977.1.region001	1.734723475976807e-17	1.0	1.0	1.0	1.0	0.0	0.0	21	0	T1PKS - T1PKS	T1PKS
BGC0000157.1.region001	BGC0000158.1.region001	0.019160401076078415	0.9620463252067566	0.9523809552192688	0.9914973974227905	0.8888888955116272	0.008502616547048092	0.0	85	0	T1PKS - T1PKS	T1PKS
BGC0001934.1.region001	BGC0002022.1.region001	0.030631808564066887	0.9396746754646301	1.0	0.9596949815750122	1.0	0.040305010974407196	0.0	54	0	T1PKS - T1PKS	T1PKS
BGC0000086.1.region001	BGC0001648.1.region001	0.24369752407073975	0.5719934105873108	0.7307692170143127	0.7660525441169739	0.6666666865348816	0.2339474856853485	0.0	106	0	T1PKS - T1PKS	T1PKS
